,gene_name,AUROC,avg_diff,cluster_revised
315,Foxb1,0.26178252748837255,1.1280471,9
316,Calb1,0.2521963871945596,1.5372968,9
317,Dgkb,0.24268960745586826,1.1744783,9
318,Zfhx3,0.23400437712582894,0.843774,9
319,Arpp21,0.19114855960592456,1.1229433,9
320,Cplx1,0.8672348769086249,1.1842104,10
321,Hspa4l,0.8632710233620704,0.77251256,10
322,Kcnc1,0.8273587186713135,0.7916372,10
323,Atp2b2,0.8074845614678694,0.7113616,10
324,Epha5,0.8027244631948729,0.97837204,10
325,Gabra1,0.7998194900698694,0.95482385,10
326,1700020I14Rik,0.7910420383864998,0.72950244,10
327,Slc6a1,0.7785487779797339,0.7515475,10
328,Erbb4,0.7609521864074215,0.71011996,10
329,C1ql3,0.7442484172377951,0.9163631,10
330,Ebf3,0.7212094304279434,0.75251186,10
331,Syt2,0.7126723807300439,0.8192931,10
332,Htr2c,0.6506465840684353,0.89500314,10
333,Tac2,0.47189728581989576,1.1213336,10
334,Npy,0.42390373915411855,1.0632074,10
335,Gad2,0.40138585491392775,0.7630491,10
336,Gad1,0.3868554308615006,0.77095383,10
337,Dlk1,0.3784483094043034,1.0393825,10
338,Cpne9,0.34245679712295796,0.7055397,10
339,Calb1,0.3314337407660625,1.0480938,10
340,Pcp4,0.32941881083003993,0.75380445,10
341,Cox6a2,0.3286114492487785,0.7387816,10
342,AY036118,0.31640166863990843,0.7861502,10
343,Foxb1,0.3150252630525772,0.80676407,10
344,Ctxn1,0.2826717415108917,0.79783815,10
345,Lhx1os,0.27886213432495677,0.8405738,10
346,Rprm,0.2741763800185652,1.6641496,10
347,Cck,0.26506264347690756,1.679446,10
348,Caly,0.25982938407065875,0.70893955,10
349,Cartpt,0.2502584668745519,1.8176627,10
350,Dgkb,0.2397884740449232,1.2388153,10
351,Gpx3,0.21580663898569818,0.88533264,10
352,Isl1,0.7902894181514043,0.71753776,11
353,Peg10,0.782234475679086,0.7062687,11
354,Gabre,0.767260972092378,0.8313022,11
355,Asb4,0.7548160435652524,0.8750621,11
356,Tcf7l2,0.705924422363416,0.73111546,11
357,Gpr101,0.6866560073630179,0.77780545,11
358,Pomc,0.5663712649687841,1.7057813,11
359,Npvf,0.5142953956787687,1.1465809,11
360,Prlh,0.5095735375673422,1.571587,11
361,Sst,0.5034489523048146,1.1456308,11
362,Tac2,0.46365399068624186,1.0124551,11
363,Tac1,0.4263301489484471,1.0819032,11
364,Npy,0.4094636340181717,1.1069783,11
365,Nts,0.3995426294171063,1.0410154,11
366,Pvalb,0.3751381318257094,0.76486623,11
367,Ctxn3,0.36556815100753126,0.71657133,11
368,Rprm,0.3082794554233995,1.5445807,11
369,Dgkb,0.3061640104590313,0.9439943,11
370,Bdnf,0.2962800781280993,0.77777386,11
371,Pcp4,0.2941119659164935,0.8760545,11
372,Cpne9,0.29057259010408426,0.8351579,11
373,Plcb4,0.29028175746089696,0.7301742,11
374,Nxph4,0.2786007092157833,0.75437486,11
375,Unc13c,0.2728074488176956,0.7807608,11
376,Nefl,0.2725369990831795,0.71665186,11
377,Cck,0.2697364695105886,1.3643024,11
378,Cadm2,0.2697175913804099,0.74999297,11
379,Lhx1os,0.26827751836308555,0.85539687,11
380,Thy1,0.2606317388426831,0.78480136,11
381,Foxb1,0.2569966043989327,1.153767,11
382,Pitx2,0.2553663820993739,0.78874195,11
383,Vsnl1,0.2465400354525813,0.81013656,11
384,Adcyap1,0.24214197831313233,1.0596098,11
385,Rmst,0.23968850538013028,0.8537418,11
386,Snca,0.23778742295192123,0.90305346,11
387,Cdk14,0.23032755197436516,0.7267012,11
388,Nrn1,0.22022269080112492,0.97275895,11
389,Arpp21,0.212093466990495,1.040478,11
390,Nrxn3,0.8058861673835243,0.804165,12
391,Zbtb20,0.7859434498198375,0.7209803,12
392,Gad2,0.7582870360118841,0.8149351,12
393,Asb4,0.7568180377825848,0.91495883,12
394,Nfix,0.6901851142021805,0.86130756,12
395,Nfib,0.668404597866149,0.7132641,12
396,Crabp1,0.6096043907880802,1.4018389,12
397,Fos,0.5991636321432198,0.7950189,12
398,Pmch,0.49794954915469847,2.4456284,12
399,Sst,0.48985092211589193,1.0657,12
400,Tac2,0.468893048606079,0.924302,12
401,Tac1,0.42090707753439655,1.0960253,12
402,Npy,0.40569310068102116,1.07137,12
403,Nts,0.40249463406663305,0.83544904,12
404,Pvalb,0.381470426090615,0.7319821,12
405,Pcp4,0.32622250126178653,0.76331496,12
406,Slc24a2,0.31048510251967887,0.7116132,12
407,Serpini1,0.3052100330546077,0.8266261,12
408,Plcb4,0.2976961992164324,0.70500916,12
409,Lhx1os,0.2817085429629726,0.7876427,12
410,Ntm,0.27990605894242054,0.7138082,12
411,Nxph4,0.27210827541077737,0.7628246,12
412,Rprm,0.27160222456211613,1.6761942,12
413,Cpne9,0.26977282497398175,0.886765,12
414,Calb1,0.2611956353257471,1.4510002,12
415,Cck,0.2607845525258256,1.48684,12
416,Brinp3,0.25938952438474067,0.76218104,12
417,Snca,0.25766454192758226,0.7884287,12
